method,subject,n_channels,score
MDM,26,8,0.5
TS-LR,26,8,0.5900000000000001
EEGNet,26,8,0.5599999999999999
CSP+LDA,26,4,0.59
MDM,26,4,0.45999999999999996
TS-LR,26,4,0.58
EEGNet,26,4,0.51
CSP+LDA,27,62,0.37
MDM,27,62,0.38
TS-LR,27,62,0.41
EEGNet,27,62,0.45
CSP+LDA,27,16,0.48
MDM,27,16,0.53
TS-LR,27,16,0.56
EEGNet,27,16,0.5
CSP+LDA,27,12,0.47000000000000003
MDM,27,12,0.53
TS-LR,27,12,0.5199999999999999
EEGNet,27,12,0.45
CSP+LDA,27,8,0.55
MDM,27,8,0.62
TS-LR,27,8,0.6100000000000001
EEGNet,27,8,0.45
CSP+LDA,27,4,0.53
MDM,27,4,0.54
TS-LR,27,4,0.6
EEGNet,27,4,0.45
CSP+LDA,28,62,0.74
MDM,28,62,0.67
TS-LR,28,62,0.8699999999999999
EEGNet,28,62,0.64
CSP+LDA,28,16,0.6799999999999999
MDM,28,16,0.7000000000000001
TS-LR,28,16,0.86
EEGNet,28,16,0.68
CSP+LDA,28,12,0.78
MDM,28,12,0.7000000000000001
TS-LR,28,12,0.85
EEGNet,28,12,0.74
CSP+LDA,28,8,0.8
MDM,28,8,0.6900000000000001
TS-LR,28,8,0.7899999999999999
EEGNet,28,8,0.7
CSP+LDA,28,4,0.68
MDM,28,4,0.5899999999999999
TS-LR,28,4,0.68
EEGNet,28,4,0.6900000000000001
CSP+LDA,29,62,0.76
MDM,29,62,0.82
TS-LR,29,62,0.89
EEGNet,29,62,0.8399999999999999
CSP+LDA,29,16,0.76
MDM,29,16,0.6900000000000001
TS-LR,29,16,0.8
EEGNet,29,16,0.6199999999999999
CSP+LDA,29,12,0.74
MDM,29,12,0.71
TS-LR,29,12,0.8
EEGNet,29,12,0.63
CSP+LDA,29,8,0.72
MDM,29,8,0.6900000000000001
TS-LR,29,8,0.7700000000000001
EEGNet,29,8,0.6799999999999999
CSP+LDA,29,4,0.63
MDM,29,4,0.6799999999999999
TS-LR,29,4,0.79
EEGNet,29,4,0.6399999999999999
CSP+LDA,30,62,0.7
MDM,30,62,0.5700000000000001
TS-LR,30,62,0.6599999999999999
EEGNet,30,62,0.6
CSP+LDA,30,16,0.7
MDM,30,16,0.65
TS-LR,30,16,0.7300000000000001
EEGNet,30,16,0.63
CSP+LDA,30,12,0.66
MDM,30,12,0.67
TS-LR,30,12,0.7100000000000001
EEGNet,30,12,0.5900000000000001
CSP+LDA,30,8,0.6300000000000001
MDM,30,8,0.61
TS-LR,30,8,0.64
EEGNet,30,8,0.51
CSP+LDA,30,4,0.54
MDM,30,4,0.5900000000000001
TS-LR,30,4,0.58
EEGNet,30,4,0.6
CSP+LDA,31,62,0.55
MDM,31,62,0.5999999999999999
TS-LR,31,62,0.63
EEGNet,31,62,0.5700000000000001
CSP+LDA,31,16,0.5900000000000001
MDM,31,16,0.5700000000000001
TS-LR,31,16,0.6599999999999999
EEGNet,31,16,0.58
CSP+LDA,31,12,0.6399999999999999
MDM,31,12,0.5900000000000001
TS-LR,31,12,0.6599999999999999
EEGNet,31,12,0.6
CSP+LDA,31,8,0.61
MDM,31,8,0.5700000000000001
TS-LR,31,8,0.61
EEGNet,31,8,0.4699999999999999
CSP+LDA,31,4,0.6199999999999999
MDM,31,4,0.58
TS-LR,31,4,0.63
EEGNet,31,4,0.55
CSP+LDA,32,62,0.99
